"word","n","Brand"
"ruining",2,"DunkinDonuts"
"runningondunkin",2,"DunkinDonuts"
"salad",2,"DunkinDonuts"
"sanity",2,"DunkinDonuts"
"score",2,"DunkinDonuts"
"selling",2,"DunkinDonuts"
"shanbenson's",2,"DunkinDonuts"
"shot",2,"DunkinDonuts"
"sister",2,"DunkinDonuts"
"slowest",2,"DunkinDonuts"
"smh",2,"DunkinDonuts"
"smittypeaches",2,"DunkinDonuts"
"smores",2,"DunkinDonuts"
"social",2,"DunkinDonuts"
"soo",2,"DunkinDonuts"
"sorrynotsorry",2,"DunkinDonuts"
"sounds",2,"DunkinDonuts"
"south",2,"DunkinDonuts"
"soy",2,"DunkinDonuts"
"specialy",2,"DunkinDonuts"
"sponsorship",2,"DunkinDonuts"
"spots",2,"DunkinDonuts"
"stars",2,"DunkinDonuts"
"station",2,"DunkinDonuts"
"stay",2,"DunkinDonuts"
"stood",2,"DunkinDonuts"
"stores",2,"DunkinDonuts"
"stranger",2,"DunkinDonuts"
"straw",2,"DunkinDonuts"
"stuck",2,"DunkinDonuts"
"studio",2,"DunkinDonuts"
"substance",2,"DunkinDonuts"
"subway",2,"DunkinDonuts"
"sudden",2,"DunkinDonuts"
"supporters",2,"DunkinDonuts"
"supposed",2,"DunkinDonuts"
"surprise",2,"DunkinDonuts"
"suspect",2,"DunkinDonuts"
"takes",2,"DunkinDonuts"
"talking",2,"DunkinDonuts"
"tampa",2,"DunkinDonuts"
"tasted",2,"DunkinDonuts"
"tasty",2,"DunkinDonuts"
"tatiana",2,"DunkinDonuts"
"teas",2,"DunkinDonuts"
"ten",2,"DunkinDonuts"
"terminal",2,"DunkinDonuts"
"terrible",2,"DunkinDonuts"
"text",2,"DunkinDonuts"
"tgif",2,"DunkinDonuts"
"thanksgiving",2,"DunkinDonuts"
"thegreyestates",2,"DunkinDonuts"
"theyve",2,"DunkinDonuts"
"thinking",2,"DunkinDonuts"
"thisladyblogs",2,"DunkinDonuts"
"threw",2,"DunkinDonuts"
"thursdaythoughts",2,"DunkinDonuts"
"thx",2,"DunkinDonuts"
"til",2,"DunkinDonuts"
"timhortons",2,"DunkinDonuts"
"tiny",2,"DunkinDonuts"
"toasted",2,"DunkinDonuts"
"totally",2,"DunkinDonuts"
"tower",2,"DunkinDonuts"
"trash",2,"DunkinDonuts"
"travel",2,"DunkinDonuts"
"treat",2,"DunkinDonuts"
"treated",2,"DunkinDonuts"
"treats",2,"DunkinDonuts"
"true",2,"DunkinDonuts"
"truth",2,"DunkinDonuts"
"turbo",2,"DunkinDonuts"
"tweet",2,"DunkinDonuts"
"twix",2,"DunkinDonuts"
"txst",2,"DunkinDonuts"
"uber",2,"DunkinDonuts"
"ugh",2,"DunkinDonuts"
"uhhh",2,"DunkinDonuts"
"understand",2,"DunkinDonuts"
"uniontown",2,"DunkinDonuts"
"united",2,"DunkinDonuts"
"update",2,"DunkinDonuts"
"useless",2,"DunkinDonuts"
"va",2,"DunkinDonuts"
"vegas",2,"DunkinDonuts"
"volunteers",2,"DunkinDonuts"
"waited",2,"DunkinDonuts"
"walking",2,"DunkinDonuts"
"wallet",2,"DunkinDonuts"
"warm",2,"DunkinDonuts"
"watched",2,"DunkinDonuts"
"watertown",2,"DunkinDonuts"
"website",2,"DunkinDonuts"
"wedding",2,"DunkinDonuts"
"weeks",2,"DunkinDonuts"
"weirdyoutubers",2,"DunkinDonuts"
"wi",2,"DunkinDonuts"
